model,explain_method,seed,function,samples,dimension,noise,test_mse,train_mse,selected_variables,true_variables,variable_precision,variable_recall,variable_f1,formula,score_x0,score_x1,score_x2,score_x3,score_x4,score_x5,score_x6,score_x7,score_x8,score_x9,score_x10,score_x11,score_x12,score_x13,score_x14,score_x15,score_x16,score_x17,score_x18,score_x19
KAN,grad,0,core_interaction,1024,20,0.0,3.985753210145049e-05,1.5368674212368205e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.824240207672119,1.197052240371704,0.594664454460144,0.59331214427948,0.002700325334444642,0.0013368877116590738,0.003226588247343898,0.0019747731275856495,0.002942497842013836,0.002761200536042452,0.0036560455337166786,0.0050847092643380165,0.002570590702816844,0.003034505993127823,0.004308170638978481,0.005519282538443804,0.002147784922271967,0.0019032664131373167,0.004544974770396948,0.0016717422986403108
KAN,perm,0,core_interaction,1024,20,0.0,3.985753210145049e-05,1.5368674212368205e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.3960689306259155,0.24086229503154755,0.3302931785583496,0.3286890387535095,0.0,0.0,0.0,0.0,5.7159923017024994e-08,0.0,1.8852854566375754e-07,0.0,1.2061112109051919e-08,0.0,0.0,0.0,9.280774975195527e-07,0.0,8.083649731815967e-07,8.162290754398782e-08
MLP,grad,0,core_interaction,1024,20,0.0,1.472245216369629,0.0006976050208322704,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.6339218616485596,1.2185434103012085,0.8695491552352905,0.8585644960403442,0.4530046880245209,0.4350387454032898,0.5212228298187256,0.5199445486068726,0.5242368578910828,0.5270931720733643,0.6155266165733337,0.5003985166549683,0.4930384159088135,0.4614473581314087,0.4897522032260895,0.6238970756530762,0.37701958417892456,0.5861203670501709,0.5051249265670776,0.5676586031913757
MLP,perm,0,core_interaction,1024,20,0.0,1.472245216369629,0.0006976050208322704,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.47171035408973694,0.2656579911708832,0.32783588767051697,0.39103126525878906,0.0503079891204834,0.01432983111590147,0.0,0.052650053054094315,0.03158394619822502,0.0,0.033338744193315506,0.01553062628954649,0.021637916564941406,0.0,0.013973872177302837,0.0680307149887085,0.0,0.060392219573259354,0.017028728500008583,0.0
KAN,grad,1,core_interaction,1024,20,0.0,7.496228590753162e-06,3.7863867419218877e-06,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.791487216949463,1.2287030220031738,0.5996401906013489,0.5904666185379028,0.0007000429322943091,0.00279239472001791,0.0020293735433369875,0.001566738123074174,0.0019460076000541449,0.0015737030189484358,0.002139303833246231,0.0022789158392697573,0.001090703415684402,0.0016273665241897106,0.0025638239458203316,0.001355073181912303,0.0021460866555571556,0.00105569779407233,0.0014451751485466957,0.0017519606044515967
KAN,perm,1,core_interaction,1024,20,0.0,7.496228590753162e-06,3.7863867419218877e-06,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.4252475500106812,0.2555122673511505,0.31968507170677185,0.30797016620635986,8.787750260808025e-08,8.500698100988302e-08,0.0,1.5555391419397324e-09,6.524063422830295e-08,0.0,2.1433758934374936e-10,4.7552475734846666e-08,0.0,7.149674274842255e-08,5.161518856766634e-08,0.0,0.0,0.0,0.0,0.0
MLP,grad,1,core_interaction,1024,20,0.0,1.6937110424041748,0.0006486194906756282,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.1290053129196167,1.3918572664260864,0.9133307933807373,0.8849397897720337,0.6705996990203857,0.5598317384719849,0.6196733117103577,0.5772315263748169,0.5547271966934204,0.5201079845428467,0.5068714618682861,0.5471277236938477,0.5701504349708557,0.6077632308006287,0.5453773140907288,0.58536297082901,0.4421001076698303,0.5227370858192444,0.4780106544494629,0.6181713938713074
MLP,perm,1,core_interaction,1024,20,0.0,1.6937110424041748,0.0006486194906756282,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.14535856246948242,0.24833305180072784,0.3800440728664398,0.36606040596961975,0.04583585262298584,0.045163195580244064,0.009816646575927734,0.01645195484161377,0.0,0.05225181579589844,0.04051883891224861,0.0,0.0,0.07839413732290268,0.0,0.036973316222429276,0.0,0.041470009833574295,0.0,0.0551583357155323
KAN,grad,2,core_interaction,1024,20,0.0,4.551746678771451e-05,1.7908396330312826e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.671231746673584,1.1799521446228027,0.5712565183639526,0.568156361579895,0.0024908247869461775,0.00395243801176548,0.005078371614217758,0.004682864993810654,0.00343914981931448,0.003971615806221962,0.004725968465209007,0.005050518549978733,0.003633501473814249,0.0028131604194641113,0.004032812546938658,0.002604703651741147,0.002621266758069396,0.005267662927508354,0.0049245962873101234,0.003764290828257799
KAN,perm,2,core_interaction,1024,20,0.0,4.551746678771451e-05,1.7908396330312826e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.3093175888061523,0.22672879695892334,0.2962147891521454,0.28145796060562134,0.0,0.0,0.0,0.0,0.0,5.079807010588411e-07,0.0,0.0,0.0,0.0,4.75744542427492e-07,0.0,1.0191712362939143e-06,0.0,8.134254017022613e-07,0.0
MLP,grad,2,core_interaction,1024,20,0.0,1.9754903316497803,0.0013466814998537302,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.7173221707344055,1.269970417022705,0.938137948513031,0.8538856506347656,0.5275576710700989,0.701532244682312,0.5250950455665588,0.7039020657539368,0.6564414501190186,0.4850170314311981,0.6957223415374756,0.6732605695724487,0.6751944422721863,0.7104851007461548,0.6202989816665649,0.5468095541000366,0.5454314947128296,0.6220847368240356,0.5563699007034302,0.5822990536689758
