setting,pair,delta_mse_mean,delta_mse_std,synergy_mean
Clean core d=20,"(2, 3)",0.5865206172408458,0.3443781245745578,-0.1532260825576183
Clean core d=20,"(0, 1)",1.293477411105414,0.4856002912345079,-0.6373072117906607
High-dimensional core d=100,"(2, 3)",-0.0244026581446329,0.0487772787392965,0.0086589455604553
High-dimensional core d=100,"(0, 1)",0.5764671166737875,0.3196679521397404,-0.0116090774536132
High-dimensional core d=100,"(0, 79)",0.5002223253250122,0.3175365921034966,-0.0002260009447733
High-dimensional core d=100,"(0, 91)",0.4923340479532878,0.3790478649158149,-0.0200505455334981
Correlated proxy d=100,"(2, 3)",-0.0242864290873209,0.049471759773262,0.0008143583933512
Correlated proxy d=100,"(0, 1)",0.0918705860773722,0.0348439847502366,0.0168975194295247
Correlated proxy d=100,"(0, 4)",0.2063378890355428,0.0378507176647627,0.0432430505752563
Correlated proxy d=100,"(1, 5)",-0.0186398029327392,0.0196206086615931,0.0149046977361043
